PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2006,39.75,-72.25,7.86,4.96,5.7,9.86,14.06,18.3,22.97,24.17,20.71,16.15,13.42,10.5,14.11
T2M,2006,39.75,-72.75,7.44,4.63,5.61,9.51,13.66,18.18,23.04,24.23,20.45,15.92,13.22,10.14,13.9
T2M,2006,39.75,-73.25,6.79,4.21,5.49,9.5,13.53,18.38,23.23,24.33,20.21,15.68,12.9,9.55,13.71
T2M,2006,39.75,-73.75,5.89,3.47,5.23,9.87,13.94,18.99,23.55,24.53,20.05,15.33,12.35,8.57,13.54
T2M,2006,39.75,-74.25,4.54,2.05,4.94,10.97,15.3,20.21,24.34,24.83,19.58,14.07,11.01,6.65,13.27
T2M,2006,39.75,-74.75,3.68,1.11,4.84,11.7,16.11,21.04,24.73,24.97,19.09,13.07,9.94,5.32,13.04
T2M,2006,39.75,-75.25,3.22,0.66,4.78,12.02,16.5,21.55,24.76,24.94,18.74,12.53,9.26,4.65,12.87
T2M,2006,40.25,-72.25,6.83,4.03,4.93,8.9,12.83,17.6,22.49,23.54,19.86,15.43,12.82,9.6,13.29
T2M,2006,40.25,-72.75,6.32,3.68,4.88,9.0,12.93,17.86,22.74,23.69,19.75,15.23,12.56,9.12,13.21
T2M,2006,40.25,-73.25,5.53,3.14,4.74,9.33,13.36,18.45,23.19,23.9,19.67,14.9,12.06,8.31,13.11
T2M,2006,40.25,-73.75,4.71,2.45,4.63,9.85,14.09,19.24,23.72,24.2,19.59,14.49,11.41,7.31,13.04
T2M,2006,40.25,-74.25,3.37,0.95,4.24,10.77,15.3,20.38,24.46,24.43,18.88,13.01,10.03,5.35,12.67
T2M,2006,40.25,-74.75,2.55,0.1,4.0,11.14,15.74,20.77,24.41,24.18,18.18,12.02,9.09,4.24,12.27
T2M,2006,40.25,-75.25,2.05,-0.34,3.79,11.15,15.8,20.88,24.09,23.74,17.61,11.45,8.48,3.69,11.94
T2M,2006,40.75,-72.25,5.17,2.56,3.95,8.57,12.54,17.62,22.34,22.89,19.09,14.44,11.73,7.98,12.47
T2M,2006,40.75,-72.75,4.44,2.03,3.81,8.89,13.02,18.21,22.8,23.17,19.07,14.15,11.3,7.28,12.41
T2M,2006,40.75,-73.25,3.64,1.45,3.7,9.34,13.69,18.92,23.39,23.44,18.99,13.71,10.72,6.44,12.35
T2M,2006,40.75,-73.75,2.71,0.68,3.51,9.81,14.43,19.67,23.92,23.65,18.62,12.87,9.77,5.19,12.14
T2M,2006,40.75,-74.25,1.68,-0.41,3.07,10.13,14.92,20.06,24.06,23.39,17.79,11.7,8.77,3.88,11.66
T2M,2006,40.75,-74.75,1.03,-1.08,2.73,10.08,14.99,19.94,23.65,22.81,17.06,10.9,8.04,3.14,11.18
T2M,2006,40.75,-75.25,0.59,-1.49,2.44,9.84,14.83,19.7,23.13,22.15,16.44,10.35,7.47,2.69,10.75
T2M,2006,41.25,-72.25,2.66,0.34,2.59,8.64,13.02,18.36,22.66,22.1,18.02,12.69,9.81,5.38,11.42
T2M,2006,41.25,-72.75,1.89,-0.21,2.39,8.88,13.42,18.85,23.03,22.32,17.87,12.3,9.28,4.68,11.29
T2M,2006,41.25,-73.25,1.23,-0.68,2.26,9.09,13.83,19.21,23.33,22.43,17.6,11.83,8.75,4.05,11.15
T2M,2006,41.25,-73.75,0.56,-1.21,2.14,9.37,14.35,19.61,23.63,22.6,17.19,11.07,8.0,3.07,10.94
T2M,2006,41.25,-74.25,-0.09,-1.86,1.75,9.14,14.24,19.27,23.23,22.02,16.51,10.32,7.35,2.43,10.43
T2M,2006,41.25,-74.75,-0.47,-2.35,1.41,8.81,14.08,18.84,22.67,21.28,15.9,9.76,6.81,2.02,9.97
T2M,2006,41.25,-75.25,-0.73,-2.73,1.08,8.41,13.81,18.38,22.1,20.55,15.32,9.25,6.33,1.69,9.53
T2M,2006,41.75,-72.25,0.33,-1.71,1.34,8.44,13.21,18.79,22.8,21.17,16.77,10.88,7.92,3.02,10.31
T2M,2006,41.75,-72.75,-0.26,-2.12,1.11,8.41,13.31,18.88,22.84,21.16,16.47,10.49,7.42,2.5,10.09
T2M,2006,41.75,-73.25,-0.83,-2.53,0.87,8.26,13.38,18.79,22.73,20.99,16.04,10.01,6.93,2.0,9.79
T2M,2006,41.75,-73.75,-0.83,-2.4,1.14,8.52,13.81,19.0,22.94,21.31,16.09,9.97,6.87,1.86,9.93
T2M,2006,41.75,-74.25,-1.4,-3.26,0.46,7.72,13.17,18.1,22.08,20.32,15.21,9.01,6.06,1.22,9.13
T2M,2006,41.75,-74.75,-1.68,-3.7,0.06,7.29,12.91,17.58,21.5,19.6,14.66,8.44,5.57,0.84,8.66
T2M,2006,41.75,-75.25,-1.66,-3.79,-0.04,7.14,12.91,17.38,21.23,19.26,14.39,8.2,5.32,0.76,8.49
T2M,2007,39.75,-72.25,7.29,2.88,5.96,7.63,12.44,17.27,22.08,23.19,21.39,18.21,10.93,7.4,13.13
T2M,2007,39.75,-72.75,6.91,2.34,5.62,7.53,12.57,17.79,22.23,23.07,21.25,18.26,10.9,7.13,13.04
T2M,2007,39.75,-73.25,6.33,1.58,5.22,7.54,12.98,18.49,22.42,23.03,21.19,18.35,10.77,6.69,12.96
T2M,2007,39.75,-73.75,5.46,0.5,4.84,7.69,13.82,19.31,22.58,23.15,21.21,18.42,10.33,5.9,12.85
T2M,2007,39.75,-74.25,4.07,-1.52,4.7,8.34,15.32,20.4,22.87,23.51,21.12,17.9,8.62,4.03,12.54
T2M,2007,39.75,-74.75,3.13,-2.97,4.6,8.82,16.26,21.1,23.29,24.17,21.3,17.56,7.29,2.63,12.37
T2M,2007,39.75,-75.25,2.6,-3.85,4.46,9.02,16.77,21.6,23.87,24.73,21.45,17.35,6.53,1.82,12.3
T2M,2007,40.25,-72.25,6.15,1.58,4.73,6.97,12.12,17.14,21.61,22.45,20.58,17.6,10.43,6.43,12.39
T2M,2007,40.25,-72.75,5.71,0.93,4.43,7.03,12.59,17.81,21.86,22.52,20.63,17.78,10.25,6.01,12.37
T2M,2007,40.25,-73.25,5.02,0.07,4.16,7.23,13.38,18.69,22.2,22.71,20.78,17.89,9.8,5.31,12.35
T2M,2007,40.25,-73.75,4.24,-0.92,3.99,7.5,14.4,19.56,22.42,22.89,20.87,17.87,9.15,4.41,12.28
T2M,2007,40.25,-74.25,2.8,-3.01,3.83,7.99,15.72,20.58,22.72,23.24,20.78,17.24,7.25,2.4,11.89
T2M,2007,40.25,-74.75,1.94,-4.34,3.61,8.15,16.29,20.98,22.93,23.66,20.76,16.75,5.97,1.08,11.59
T2M,2007,40.25,-75.25,1.42,-5.18,3.37,8.06,16.47,21.14,23.17,23.94,20.64,16.37,5.24,0.3,11.36
T2M,2007,40.75,-72.25,4.32,-0.36,3.35,6.54,12.5,17.4,21.47,22.25,20.08,17.11,9.37,4.72,11.64
T2M,2007,40.75,-72.75,3.74,-1.19,3.03,6.69,13.2,18.21,21.92,22.6,20.32,17.26,8.94,4.04,11.65
T2M,2007,40.75,-73.25,3.11,-2.08,2.87,6.98,14.13,19.13,22.31,22.82,20.51,17.25,8.24,3.18,11.62
T2M,2007,40.75,-73.75,2.23,-3.3,2.77,7.32,15.13,19.99,22.62,22.92,20.5,16.91,7.0,1.83,11.42
T2M,2007,40.75,-74.25,1.16,-4.81,2.51,7.31,15.72,20.49,22.57,22.84,20.17,16.26,5.54,0.32,10.94
T2M,2007,40.75,-74.75,0.47,-5.8,2.22,7.1,15.8,20.5,22.39,22.83,19.87,15.73,4.57,-0.61,10.53
T2M,2007,40.75,-75.25,-0.0,-6.5,1.92,6.8,15.65,20.37,22.25,22.81,19.49,15.26,3.95,-1.18,10.18
T2M,2007,41.25,-72.25,1.63,-3.08,1.86,6.32,13.54,18.27,21.89,22.57,19.73,16.2,7.17,1.72,10.74
T2M,2007,41.25,-72.75,1.06,-3.94,1.5,6.41,14.13,18.9,22.2,22.8,19.91,16.16,6.59,0.94,10.65
T2M,2007,41.25,-73.25,0.57,-4.75,1.3,6.54,14.71,19.47,22.25,22.7,19.91,15.94,5.86,0.19,10.49
T2M,2007,41.25,-73.75,-0.05,-5.76,1.26,6.75,15.36,20.04,22.42,22.67,19.83,15.56,4.73,-0.84,10.26
T2M,2007,41.25,-74.25,-0.65,-6.57,0.89,6.34,15.25,19.97,21.96,22.21,19.37,15.05,3.83,-1.67,9.77
T2M,2007,41.25,-74.75,-1.09,-7.19,0.62,5.93,14.98,19.73,21.53,21.88,18.96,14.64,3.26,-2.14,9.36
T2M,2007,41.25,-75.25,-1.46,-7.71,0.33,5.52,14.6,19.38,21.09,21.61,18.42,14.19,2.84,-2.43,8.97
T2M,2007,41.75,-72.25,-0.94,-5.67,0.39,5.95,14.22,18.81,21.92,22.56,19.22,14.89,4.77,-1.31,9.66
T2M,2007,41.75,-72.75,-1.43,-6.35,-0.07,5.91,14.43,19.05,21.81,22.33,19.1,14.66,4.22,-1.84,9.42
T2M,2007,41.75,-73.25,-1.92,-7.06,-0.5,5.75,14.53,19.16,21.45,21.84,18.8,14.3,3.59,-2.31,9.07
T2M,2007,41.75,-73.75,-1.87,-7.2,-0.26,5.95,14.91,19.55,21.59,21.96,18.97,14.36,3.36,-2.33,9.18
T2M,2007,41.75,-74.25,-2.46,-8.06,-0.92,5.08,14.21,18.96,20.6,21.07,18.23,13.71,2.47,-3.06,8.42
T2M,2007,41.75,-74.75,-2.81,-8.6,-1.21,4.59,13.78,18.59,20.05,20.64,17.76,13.35,2.02,-3.41,8.0
T2M,2007,41.75,-75.25,-2.83,-8.8,-1.21,4.46,13.58,18.44,19.87,20.62,17.48,13.2,1.92,-3.46,7.88
T2M,2008,39.75,-72.25,6.0,5.68,6.98,9.85,12.09,19.85,24.14,23.31,20.62,15.81,11.72,9.57,13.83
T2M,2008,39.75,-72.75,5.53,5.2,6.64,9.67,12.02,19.92,23.81,23.14,20.56,15.63,11.19,8.71,13.53
T2M,2008,39.75,-73.25,4.93,4.65,6.29,9.67,12.3,20.21,23.56,22.96,20.53,15.42,10.62,7.71,13.26
T2M,2008,39.75,-73.75,4.09,3.98,5.95,9.98,13.06,20.83,23.48,22.88,20.62,15.07,9.84,6.48,13.05
T2M,2008,39.75,-74.25,2.44,2.95,5.72,10.96,14.19,22.0,24.15,22.95,20.73,13.89,8.22,4.47,12.75
T2M,2008,39.75,-74.75,1.27,2.17,5.58,11.62,14.8,22.71,24.79,23.2,20.82,13.08,7.02,2.95,12.53
T2M,2008,39.75,-75.25,0.59,1.61,5.42,11.91,15.02,23.04,25.18,23.3,20.79,12.6,6.3,2.0,12.34
T2M,2008,40.25,-72.25,4.98,4.44,5.71,8.79,11.54,19.18,23.26,22.67,20.09,15.18,10.73,8.11,12.91
T2M,2008,40.25,-72.75,4.42,3.99,5.53,8.98,11.86,19.66,23.2,22.61,20.16,15.04,10.24,7.26,12.77
T2M,2008,40.25,-73.25,3.67,3.44,5.32,9.35,12.46,20.35,23.4,22.62,20.25,14.7,9.58,6.19,12.64
T2M,2008,40.25,-73.75,2.86,2.83,5.1,9.83,13.2,21.1,23.7,22.71,20.38,14.19,8.78,5.02,12.5
T2M,2008,40.25,-74.25,1.23,1.67,4.8,10.71,13.96,22.11,24.52,22.75,20.29,12.72,7.04,2.9,12.08
T2M,2008,40.25,-74.75,0.21,0.78,4.52,11.17,14.16,22.41,24.81,22.72,20.14,11.87,5.91,1.45,11.7
T2M,2008,40.25,-75.25,-0.4,0.09,4.21,11.29,14.11,22.41,24.78,22.52,19.92,11.39,5.24,0.5,11.36
T2M,2008,40.75,-72.25,3.37,2.9,4.49,8.58,11.75,19.3,22.95,22.1,19.75,14.19,9.25,6.0,12.08
T2M,2008,40.75,-72.75,2.66,2.35,4.29,8.92,12.24,20.0,23.29,22.2,19.9,13.93,8.7,5.04,11.98
T2M,2008,40.75,-73.25,1.87,1.76,4.12,9.38,12.82,20.71,23.71,22.31,19.96,13.45,8.01,3.94,11.87
T2M,2008,40.75,-73.75,0.83,1.0,3.88,9.87,13.3,21.38,24.22,22.41,19.83,12.46,6.9,2.46,11.57
T2M,2008,40.75,-74.25,-0.3,-0.1,3.48,10.22,13.38,21.71,24.4,22.1,19.42,11.25,5.62,0.81,11.03
T2M,2008,40.75,-74.75,-1.04,-0.99,3.06,10.34,13.22,21.55,24.15,21.72,19.11,10.54,4.72,-0.32,10.53
T2M,2008,40.75,-75.25,-1.55,-1.69,2.64,10.32,12.97,21.26,23.7,21.25,18.83,10.08,4.1,-1.12,10.09
T2M,2008,41.25,-72.25,0.97,0.86,3.1,8.84,12.31,19.97,23.31,21.34,19.05,12.24,6.91,3.02,11.02
T2M,2008,41.25,-72.75,0.25,0.23,2.81,9.09,12.6,20.43,23.62,21.39,19.06,11.84,6.35,2.06,10.83
T2M,2008,41.25,-73.25,-0.44,-0.41,2.53,9.32,12.79,20.67,23.73,21.36,18.93,11.35,5.78,1.09,10.58
T2M,2008,41.25,-73.75,-1.36,-1.13,2.33,9.7,12.98,21.05,24.01,21.49,18.79,10.55,4.9,-0.21,10.28
T2M,2008,41.25,-74.25,-2.02,-1.99,1.89,9.6,12.57,20.76,23.43,20.91,18.32,9.86,4.16,-1.29,9.71
T2M,2008,41.25,-74.75,-2.44,-2.74,1.45,9.41,12.2,20.43,22.82,20.41,18.05,9.36,3.54,-1.99,9.24
T2M,2008,41.25,-75.25,-2.78,-3.4,1.0,9.21,11.81,20.05,22.14,19.78,17.73,8.88,3.0,-2.52,8.77
T2M,2008,41.75,-72.25,-1.43,-1.29,1.56,8.86,12.37,20.1,23.17,20.28,17.95,10.29,4.66,0.22,9.75
T2M,2008,41.75,-72.75,-2.06,-1.9,1.25,8.86,12.35,20.12,23.09,20.16,17.78,9.89,4.23,-0.58,9.46
T2M,2008,41.75,-73.25,-2.76,-2.59,0.88,8.76,12.2,19.99,22.81,19.94,17.53,9.42,3.79,-1.43,9.07
T2M,2008,41.75,-73.75,-2.96,-2.79,0.99,9.14,12.4,20.27,22.99,20.28,17.78,9.43,3.77,-1.96,9.14
T2M,2008,41.75,-74.25,-3.63,-3.75,0.16,8.59,11.52,19.56,21.84,19.31,17.05,8.63,2.92,-2.96,8.3
T2M,2008,41.75,-74.75,-3.96,-4.4,-0.33,8.29,11.03,19.2,21.18,18.78,16.84,8.11,2.34,-3.42,7.83
T2M,2008,41.75,-75.25,-3.91,-4.71,-0.5,8.28,10.84,19.1,20.83,18.49,16.79,7.86,2.07,-3.54,7.66
T2M,2009,39.75,-72.25,4.44,5.3,5.86,9.05,13.07,17.29,21.82,24.04,20.77,15.96,13.95,8.13,13.35
T2M,2009,39.75,-72.75,3.74,4.86,5.5,8.79,12.95,17.26,21.78,24.14,20.55,15.73,13.44,7.54,13.07
T2M,2009,39.75,-73.25,2.82,4.23,5.16,8.8,13.17,17.52,21.93,24.29,20.36,15.49,12.92,6.72,12.83
T2M,2009,39.75,-73.75,1.55,3.33,4.78,9.14,13.88,18.14,22.15,24.36,20.19,15.18,12.28,5.53,12.59
T2M,2009,39.75,-74.25,-0.7,2.11,4.55,10.05,15.34,19.27,22.29,24.22,19.51,13.94,10.82,3.15,12.1
T2M,2009,39.75,-74.75,-2.25,1.36,4.54,10.63,16.32,20.1,22.38,24.07,18.88,12.9,9.67,1.53,11.73
T2M,2009,39.75,-75.25,-3.07,0.97,4.58,10.88,16.76,20.58,22.59,24.04,18.46,12.28,9.01,0.69,11.53
T2M,2009,40.25,-72.25,2.8,4.08,4.76,8.15,12.4,16.6,21.15,23.36,19.87,15.03,12.84,6.7,12.36
T2M,2009,40.25,-72.75,2.05,3.64,4.54,8.3,12.67,16.91,21.35,23.64,19.8,14.88,12.39,6.04,12.23
T2M,2009,40.25,-73.25,1.02,3.01,4.34,8.67,13.29,17.5,21.68,23.95,19.74,14.6,11.85,5.12,12.11
T2M,2009,40.25,-73.75,-0.14,2.3,4.14,9.15,14.15,18.21,21.93,24.07,19.6,14.2,11.18,4.05,11.96
T2M,2009,40.25,-74.25,-2.39,1.12,3.98,10.0,15.5,19.2,21.96,23.89,18.84,12.87,9.71,1.76,11.42
T2M,2009,40.25,-74.75,-3.75,0.43,3.89,10.34,16.09,19.75,21.81,23.56,18.14,11.9,8.73,0.45,10.99
T2M,2009,40.25,-75.25,-4.5,0.0,3.8,10.36,16.18,19.95,21.69,23.25,17.63,11.28,8.15,-0.25,10.68
T2M,2009,40.75,-72.25,0.42,2.43,3.69,7.93,12.52,16.61,20.66,22.96,19.14,13.99,11.44,4.55,11.41
T2M,2009,40.75,-72.75,-0.5,1.88,3.52,8.33,13.11,17.21,21.04,23.36,19.18,13.77,10.97,3.75,11.35
T2M,2009,40.75,-73.25,-1.54,1.35,3.45,8.89,13.88,17.9,21.41,23.66,19.11,13.39,10.41,2.87,11.28
T2M,2009,40.75,-73.75,-2.97,0.7,3.36,9.48,14.75,18.55,21.57,23.66,18.73,12.65,9.48,1.57,11.01
T2M,2009,40.75,-74.25,-4.54,-0.15,3.16,9.74,15.31,18.93,21.34,23.2,17.9,11.59,8.38,0.06,10.46
T2M,2009,40.75,-74.75,-5.53,-0.77,2.97,9.7,15.38,19.04,20.92,22.64,17.2,10.79,7.65,-0.85,9.98
T2M,2009,40.75,-75.25,-6.2,-1.25,2.78,9.51,15.16,18.99,20.5,22.11,16.66,10.21,7.15,-1.46,9.56
T2M,2009,41.25,-72.25,-3.09,0.35,2.6,8.26,13.38,17.25,20.4,22.73,18.17,12.18,9.52,1.39,10.31
T2M,2009,41.25,-72.75,-3.95,-0.15,2.5,8.62,13.88,17.75,20.63,22.9,18.12,11.85,9.0,0.66,10.2
T2M,2009,41.25,-73.25,-4.77,-0.56,2.5,8.99,14.36,18.12,20.74,22.84,17.86,11.46,8.45,-0.01,10.05
T2M,2009,41.25,-73.75,-5.87,-1.02,2.51,9.41,14.93,18.57,20.8,22.71,17.37,10.89,7.67,-0.97,9.8
T2M,2009,41.25,-74.25,-6.78,-1.61,2.24,9.09,14.72,18.46,20.32,22.09,16.67,10.18,6.98,-1.74,9.27
T2M,2009,41.25,-74.75,-7.44,-2.12,2.02,8.79,14.42,18.26,19.84,21.52,16.12,9.63,6.52,-2.26,8.82
T2M,2009,41.25,-75.25,-7.94,-2.53,1.79,8.44,14.04,17.99,19.35,20.96,15.67,9.14,6.12,-2.67,8.41
T2M,2009,41.75,-72.25,-6.61,-1.63,1.66,8.4,13.94,17.56,20.01,22.11,16.84,10.17,7.64,-1.47,9.1
T2M,2009,41.75,-72.75,-7.17,-2.03,1.61,8.5,14.07,17.71,19.93,21.95,16.62,9.86,7.16,-1.96,8.91
T2M,2009,41.75,-73.25,-7.69,-2.44,1.54,8.48,14.12,17.74,19.76,21.59,16.18,9.49,6.62,-2.47,8.63
T2M,2009,41.75,-73.75,-7.72,-2.37,1.84,8.75,14.44,18.13,20.01,21.68,16.1,9.64,6.48,-2.45,8.76
T2M,2009,41.75,-74.25,-8.55,-3.18,1.18,7.91,13.63,17.55,19.09,20.75,15.25,8.74,5.69,-3.23,7.95
T2M,2009,41.75,-74.75,-9.1,-3.69,0.88,7.53,13.2,17.24,18.61,20.25,14.81,8.31,5.32,-3.61,7.53
T2M,2009,41.75,-75.25,-9.23,-3.76,0.85,7.45,13.08,17.14,18.45,20.04,14.75,8.18,5.17,-3.66,7.42
T2M,2010,39.75,-72.25,4.87,4.03,7.17,9.97,13.54,19.86,24.71,24.31,21.37,16.74,11.87,5.65,13.73
T2M,2010,39.75,-72.75,4.32,3.58,6.75,9.81,13.65,20.01,24.65,24.18,21.25,16.5,11.58,5.09,13.5
T2M,2010,39.75,-73.25,3.53,2.92,6.44,9.95,14.0,20.44,24.65,24.07,21.32,16.29,11.22,4.33,13.32
T2M,2010,39.75,-73.75,2.32,1.85,6.3,10.43,14.7,21.06,24.68,24.06,21.51,15.96,10.62,3.18,13.12
T2M,2010,39.75,-74.25,0.28,-0.22,6.56,11.4,16.03,22.13,24.99,24.21,21.59,14.75,8.84,0.89,12.69
T2M,2010,39.75,-74.75,-0.97,-1.66,6.81,12.08,16.94,22.98,25.39,24.55,21.79,13.82,7.55,-0.57,12.47
T2M,2010,39.75,-75.25,-1.56,-2.4,6.9,12.47,17.46,23.75,25.89,24.88,21.84,13.23,6.88,-1.29,12.42
T2M,2010,40.25,-72.25,3.46,2.86,6.16,9.46,13.01,19.44,24.14,23.6,20.76,15.99,11.03,4.51,12.92
T2M,2010,40.25,-72.75,2.88,2.43,6.01,9.63,13.41,19.88,24.34,23.68,20.88,15.85,10.71,3.86,12.85
T2M,2010,40.25,-73.25,2.02,1.73,6.0,10.04,14.1,20.57,24.67,23.85,21.15,15.56,10.15,2.98,12.79
T2M,2010,40.25,-73.75,0.97,0.75,6.08,10.59,14.94,21.31,24.95,24.03,21.39,15.09,9.43,1.95,12.69
T2M,2010,40.25,-74.25,-0.89,-1.18,6.36,11.41,16.19,22.34,25.49,24.37,21.45,13.7,7.65,-0.2,12.3
T2M,2010,40.25,-74.75,-1.89,-2.33,6.44,11.82,16.81,22.81,25.65,24.52,21.36,12.73,6.52,-1.39,12.0
T2M,2010,40.25,-75.25,-2.42,-2.97,6.34,11.93,17.03,23.14,25.65,24.47,21.1,12.12,5.9,-2.03,11.77
T2M,2010,40.75,-72.25,1.43,1.35,5.48,9.4,13.2,19.47,23.89,23.17,20.47,15.16,9.77,2.74,12.19
T2M,2010,40.75,-72.75,0.74,0.79,5.49,9.76,13.81,20.14,24.42,23.46,20.75,14.92,9.28,1.89,12.18
T2M,2010,40.75,-73.25,-0.03,0.1,5.61,10.23,14.63,20.93,25.0,23.73,20.97,14.44,8.59,0.94,12.16
T2M,2010,40.75,-73.75,-1.16,-0.89,5.73,10.76,15.51,21.67,25.57,23.97,20.98,13.53,7.4,-0.37,11.96
T2M,2010,40.75,-74.25,-2.34,-2.1,5.67,11.07,16.08,22.03,25.59,23.87,20.67,12.38,6.18,-1.74,11.52
T2M,2010,40.75,-74.75,-3.06,-2.85,5.49,11.14,16.25,21.98,25.23,23.63,20.26,11.55,5.35,-2.52,11.11
T2M,2010,40.75,-75.25,-3.56,-3.41,5.26,11.05,16.21,21.89,24.85,23.32,19.79,10.93,4.79,-3.04,10.75
T2M,2010,41.25,-72.25,-1.42,-0.64,5.1,9.71,14.24,20.05,24.23,23.0,20.22,13.6,7.55,0.12,11.38
T2M,2010,41.25,-72.75,-2.0,-1.21,5.07,9.96,14.72,20.55,24.73,23.17,20.33,13.17,6.92,-0.75,11.29
T2M,2010,41.25,-73.25,-2.5,-1.76,5.01,10.2,15.23,20.98,25.06,23.16,20.22,12.59,6.23,-1.6,11.14
T2M,2010,41.25,-73.75,-3.28,-2.37,5.0,10.59,15.81,21.4,25.43,23.3,20.02,11.78,5.25,-2.65,10.93
T2M,2010,41.25,-74.25,-3.9,-2.94,4.56,10.44,15.7,21.08,24.84,22.77,19.4,11.01,4.57,-3.36,10.42
T2M,2010,41.25,-74.75,-4.37,-3.42,4.23,10.25,15.53,20.69,24.26,22.34,18.88,10.39,4.08,-3.77,9.99
T2M,2010,41.25,-75.25,-4.82,-3.91,3.93,10.02,15.27,20.35,23.78,21.94,18.34,9.82,3.67,-4.14,9.59
T2M,2010,41.75,-72.25,-3.9,-2.41,4.59,9.79,15.1,20.28,24.38,22.66,19.7,11.72,5.24,-2.22,10.48
T2M,2010,41.75,-72.75,-4.24,-2.85,4.32,9.77,15.24,20.37,24.46,22.51,19.44,11.23,4.65,-2.93,10.24
T2M,2010,41.75,-73.25,-4.62,-3.29,3.92,9.68,15.28,20.3,24.27,22.16,18.96,10.67,4.01,-3.67,9.88
T2M,2010,41.75,-73.75,-4.54,-3.11,4.05,10.03,15.6,20.52,24.48,22.37,18.95,10.56,3.93,-3.73,9.99
T2M,2010,41.75,-74.25,-5.33,-3.9,3.09,9.4,14.89,19.66,23.28,21.36,17.89,9.7,3.22,-4.61,9.12
T2M,2010,41.75,-74.75,-5.86,-4.4,2.73,9.08,14.53,19.16,22.66,20.84,17.32,9.14,2.82,-5.03,8.65
T2M,2010,41.75,-75.25,-6.06,-4.63,2.73,9.06,14.44,19.03,22.61,20.77,17.09,8.86,2.71,-5.12,8.53
T2M,2011,39.75,-72.25,4.42,5.33,5.86,9.22,15.49,20.0,23.5,23.88,20.75,17.05,13.53,10.82,14.21
T2M,2011,39.75,-72.75,3.72,4.78,5.53,8.7,15.03,20.19,23.67,23.91,20.56,16.69,13.13,10.23,13.9
T2M,2011,39.75,-73.25,2.83,4.08,5.32,8.67,14.97,20.53,23.9,23.92,20.54,16.34,12.69,9.54,13.67
T2M,2011,39.75,-73.75,1.58,3.26,5.18,9.2,15.4,20.98,24.28,23.91,20.68,15.83,12.06,8.57,13.47
T2M,2011,39.75,-74.25,-0.74,2.15,4.95,10.67,16.61,21.75,25.11,23.73,20.78,14.47,10.68,6.55,13.12
T2M,2011,39.75,-74.75,-2.34,1.37,4.74,11.68,17.46,22.29,25.95,23.69,20.7,13.42,9.6,5.15,12.87
T2M,2011,39.75,-75.25,-3.17,0.82,4.55,12.11,17.9,22.58,26.62,23.71,20.49,12.82,8.97,4.38,12.71
T2M,2011,40.25,-72.25,2.88,3.72,4.86,8.24,14.21,19.11,23.05,23.43,20.07,16.37,12.77,9.74,13.26
T2M,2011,40.25,-72.75,2.14,3.25,4.7,8.19,14.29,19.58,23.44,23.51,20.11,16.05,12.35,9.07,13.11
T2M,2011,40.25,-73.25,1.1,2.61,4.58,8.56,14.74,20.19,23.98,23.57,20.26,15.56,11.76,8.19,12.99
T2M,2011,40.25,-73.75,-0.02,1.91,4.48,9.22,15.34,20.71,24.54,23.58,20.4,14.89,11.05,7.19,12.83
T2M,2011,40.25,-74.25,-2.26,0.7,4.16,10.56,16.52,21.38,25.38,23.31,20.3,13.34,9.61,5.1,12.4
T2M,2011,40.25,-74.75,-3.58,-0.2,3.8,11.14,17.15,21.62,25.71,23.01,20.07,12.45,8.69,3.88,12.04
T2M,2011,40.25,-75.25,-4.26,-0.87,3.45,11.24,17.35,21.61,25.84,22.73,19.76,11.94,8.15,3.2,11.74
T2M,2011,40.75,-72.25,0.71,1.86,3.97,8.05,13.81,18.74,23.13,23.0,19.82,15.43,11.65,8.03,12.41
T2M,2011,40.75,-72.75,-0.22,1.26,3.8,8.31,14.3,19.41,23.73,23.14,20.0,15.02,11.1,7.17,12.31
T2M,2011,40.75,-73.25,-1.29,0.57,3.64,8.81,14.91,20.04,24.26,23.12,20.09,14.35,10.44,6.2,12.16
T2M,2011,40.75,-73.75,-2.72,-0.32,3.43,9.49,15.56,20.49,24.71,22.96,19.9,13.24,9.39,4.87,11.81
T2M,2011,40.75,-74.25,-4.12,-1.4,2.96,10.03,16.2,20.7,24.79,22.5,19.52,12.04,8.33,3.39,11.31
T2M,2011,40.75,-74.75,-4.94,-2.21,2.43,10.11,16.46,20.62,24.48,21.96,19.13,11.4,7.66,2.44,10.86
T2M,2011,40.75,-75.25,-5.4,-2.81,1.89,9.93,16.44,20.4,24.12,21.45,18.76,10.96,7.17,1.83,10.46
T2M,2011,41.25,-72.25,-2.6,-0.64,2.92,8.5,14.37,18.89,23.59,22.45,19.49,13.62,9.74,5.25,11.36
T2M,2011,41.25,-72.75,-3.56,-1.41,2.64,8.69,14.8,19.37,23.87,22.45,19.53,13.07,9.14,4.37,11.15
T2M,2011,41.25,-73.25,-4.42,-2.19,2.32,8.91,15.13,19.66,23.82,22.19,19.34,12.38,8.5,3.49,10.83
T2M,2011,41.25,-73.75,-5.44,-2.97,2.03,9.37,15.64,20.0,23.91,21.92,19.07,11.52,7.6,2.39,10.49
