PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1996,41.75,-73.25,-6.29,-4.04,-1.2,6.42,12.15,18.67,20.0,20.73,17.17,9.58,1.59,0.43,7.97
T2M,1996,41.75,-73.75,-6.46,-3.85,-1.05,6.71,12.3,19.01,20.14,20.77,17.26,9.61,1.58,0.16,8.05
T2M,1996,41.75,-74.25,-7.17,-4.6,-1.81,6.01,11.46,18.35,19.31,19.81,16.3,8.81,0.96,-0.65,7.26
T2M,1996,41.75,-74.75,-7.42,-4.94,-2.15,5.59,11.04,18.0,18.81,19.24,15.72,8.37,0.49,-1.09,6.83
T2M,1996,41.75,-75.25,-7.46,-4.98,-2.21,5.48,10.92,17.95,18.61,19.02,15.5,8.3,0.19,-1.14,6.71
T2M,1997,39.75,-72.25,4.6,5.86,6.29,7.99,11.94,16.34,22.15,21.95,20.3,16.02,11.79,7.87,12.8
T2M,1997,39.75,-72.75,4.13,5.43,6.12,8.11,12.28,16.76,22.28,22.06,20.16,15.78,11.3,7.55,12.71
T2M,1997,39.75,-73.25,3.5,4.95,5.88,8.28,12.7,17.3,22.46,22.2,20.09,15.55,10.66,6.94,12.59
T2M,1997,39.75,-73.75,2.61,4.31,5.65,8.48,13.08,17.98,22.62,22.34,20.01,15.31,9.79,5.94,12.39
T2M,1997,39.75,-74.25,0.83,3.32,5.39,8.64,13.51,19.01,22.9,22.21,19.49,14.28,7.88,3.84,11.82
T2M,1997,39.75,-74.75,-0.45,2.63,5.16,8.7,13.77,19.78,23.46,22.41,19.26,13.59,6.55,2.44,11.49
T2M,1997,39.75,-75.25,-1.16,2.18,4.96,8.75,13.93,20.46,24.23,22.8,19.16,13.24,5.85,1.76,11.4
T2M,1997,40.25,-72.25,3.56,4.86,5.33,7.66,11.71,16.44,21.7,21.51,19.57,15.31,10.58,6.94,12.14
T2M,1997,40.25,-72.75,3.03,4.44,5.2,7.82,12.1,17.05,22.03,21.79,19.55,15.14,10.1,6.42,12.1
T2M,1997,40.25,-73.25,2.23,3.95,5.01,7.98,12.51,17.8,22.45,22.13,19.58,14.86,9.31,5.55,11.99
T2M,1997,40.25,-73.75,1.33,3.47,4.94,8.19,12.85,18.53,22.72,22.29,19.5,14.51,8.38,4.57,11.82
T2M,1997,40.25,-74.25,-0.52,2.36,4.5,8.28,13.25,19.48,23.15,22.08,18.9,13.35,6.36,2.45,11.19
T2M,1997,40.25,-74.75,-1.66,1.6,4.12,8.22,13.35,19.92,23.5,22.03,18.48,12.6,5.15,1.23,10.76
T2M,1997,40.25,-75.25,-2.35,1.07,3.81,8.1,13.3,20.25,23.76,22.06,18.15,12.16,4.53,0.64,10.51
T2M,1997,40.75,-72.25,1.87,3.47,4.15,7.42,11.63,16.98,21.75,21.31,18.99,14.42,8.86,5.06,11.37
T2M,1997,40.75,-72.75,1.15,2.93,3.94,7.57,12.03,17.7,22.18,21.71,19.06,14.21,8.23,4.24,11.29
T2M,1997,40.75,-73.25,0.27,2.41,3.73,7.71,12.4,18.48,22.59,22.02,19.03,13.8,7.37,3.31,11.14
T2M,1997,40.75,-73.75,-0.94,1.96,3.61,7.78,12.65,19.19,23.01,22.1,18.67,13.0,6.05,2.04,10.81
T2M,1997,40.75,-74.25,-2.33,1.08,3.1,7.61,12.69,19.6,23.13,21.71,17.95,12.02,4.57,0.66,10.2
T2M,1997,40.75,-74.75,-3.18,0.36,2.67,7.33,12.51,19.56,22.97,21.31,17.33,11.34,3.68,-0.13,9.7
T2M,1997,40.75,-75.25,-3.78,-0.21,2.35,7.03,12.23,19.46,22.72,20.95,16.83,10.85,3.13,-0.6,9.3
T2M,1997,41.25,-72.25,-0.8,1.65,2.61,7.0,11.63,17.89,22.34,21.1,18.32,12.78,6.06,2.01,10.26
T2M,1997,41.25,-72.75,-1.57,1.13,2.37,7.05,11.89,18.41,22.5,21.33,18.24,12.42,5.36,1.24,10.08
T2M,1997,41.25,-73.25,-2.34,0.64,2.12,7.05,12.06,18.81,22.48,21.4,17.92,11.89,4.63,0.54,9.82
T2M,1997,41.25,-73.75,-3.36,0.18,1.99,7.06,12.19,19.24,22.76,21.48,17.45,11.13,3.63,-0.45,9.49
T2M,1997,41.25,-74.25,-4.17,-0.39,1.53,6.63,11.82,19.06,22.37,20.94,16.74,10.45,2.78,-1.12,8.94
T2M,1997,41.25,-74.75,-4.7,-0.99,1.19,6.17,11.42,18.74,21.93,20.43,16.15,10.01,2.28,-1.53,8.48
T2M,1997,41.25,-75.25,-5.11,-1.53,0.89,5.71,10.99,18.39,21.41,19.87,15.61,9.59,1.86,-1.85,8.04
T2M,1997,41.75,-72.25,-3.35,-0.09,1.02,6.27,11.4,18.37,22.27,20.61,17.38,10.89,3.35,-0.65,9.0
T2M,1997,41.75,-72.75,-3.95,-0.5,0.76,6.15,11.4,18.51,22.06,20.57,17.01,10.43,2.77,-1.19,8.72
T2M,1997,41.75,-73.25,-4.59,-0.97,0.45,5.92,11.28,18.47,21.72,20.44,16.44,9.84,2.18,-1.72,8.34
T2M,1997,41.75,-73.75,-4.8,-1.09,0.66,6.14,11.52,18.76,21.98,20.8,16.38,9.79,2.16,-1.74,8.43
T2M,1997,41.75,-74.25,-5.66,-1.98,-0.08,5.26,10.59,18.01,20.89,19.84,15.43,8.98,1.36,-2.39,7.57
T2M,1997,41.75,-74.75,-6.14,-2.73,-0.41,4.75,10.09,17.63,20.33,19.28,14.86,8.6,0.97,-2.84,7.09
T2M,1997,41.75,-75.25,-6.19,-2.94,-0.42,4.58,9.93,17.55,20.11,19.02,14.65,8.48,0.84,-2.98,6.94
T2M,1998,39.75,-72.25,7.18,5.83,5.69,8.3,12.19,17.6,22.21,22.79,21.21,15.84,11.24,8.94,13.3
T2M,1998,39.75,-72.75,6.92,5.77,5.74,8.56,12.26,17.74,22.49,22.94,21.25,15.85,11.15,8.66,13.33
T2M,1998,39.75,-73.25,6.42,5.65,5.79,8.95,12.68,18.06,22.78,23.11,21.26,15.75,10.92,8.3,13.35
T2M,1998,39.75,-73.75,5.64,5.33,5.81,9.42,13.53,18.58,23.04,23.33,21.3,15.54,10.43,7.66,13.35
T2M,1998,39.75,-74.25,4.49,4.4,5.86,10.25,15.18,19.5,23.1,23.38,21.09,14.5,8.82,5.96,13.09
T2M,1998,39.75,-74.75,3.69,3.77,5.88,10.93,16.39,20.16,23.31,23.82,21.35,13.83,7.72,4.85,13.03
T2M,1998,39.75,-75.25,3.18,3.39,5.78,11.25,17.07,20.47,23.71,24.28,21.62,13.45,7.2,4.38,13.04
T2M,1998,40.25,-72.25,6.12,5.07,5.21,8.01,11.82,17.1,21.83,22.49,20.58,15.24,10.57,8.09,12.73
